"Sample","X","Y","Z","PCoA1","PCoA2","PCoA3"
"PRITL_413_P-CCXX-1",0.148960408746462,-0.0324356818459021,0.0603890017350359,60.977,39.586,12.126
"PRITL_0_P-CCLXXX-1",-0.0439433573095483,0.111589583205962,-0.109087175557876,60.977,39.586,12.126
"PRITL_0_P-XCIX",-0.163090214871323,0.0581819766200139,0.0451191999218228,60.977,39.586,12.126
"PRITL_12_P-514-CCLXXXII-497",-0.0685456864007976,0.0115332548233591,0.00559137123356361,60.977,39.586,12.126
"PRITL_22_X-1",0.0465086093763498,0.0184643076668648,-0.00348407294695918,60.977,39.586,12.126
"PRITL_23",-0.0794666518178326,0.00196459653088976,0.0178025204636706,60.977,39.586,12.126
"PRITL_36_XXIV",-0.000576341972764421,0.0292674839814753,-0.0248785199590968,60.977,39.586,12.126
"PRITL_40_XXVIII",0.0176043618756276,0.0775151569295002,-0.0574798219168126,60.977,39.586,12.126
"PRITL_45_XXXI-1-2",0.0637301779277373,0.0119586545893212,0.00684486718091751,60.977,39.586,12.126
"PRITL_52",0.105934433918231,-0.181625237003367,-0.0815682229740021,60.977,39.586,12.126
"PRITL_54_P-54_L",-0.0536090489984417,0.00222773369461721,0.000292874131073104,60.977,39.586,12.126
"PRITL_54_XXXIX",0.0168475741043721,0.0258989026542528,-0.017935054885013,60.977,39.586,12.126
"PRITL_55_XL",0.0978872208440442,0.148968630365445,-0.0687858905458597,60.977,39.586,12.126
"PRITL_56_XLI",0.0757966058510231,0.0602287886600696,-0.00684295695658891,60.977,39.586,12.126
"PRITL_57_XLII-1",-0.208265994320845,0.0947148679636523,0.0528787127471044,60.977,39.586,12.126
"PRITL_61_XLVI",0.175628140888332,-0.00210914998703977,0.0861676041245623,60.977,39.586,12.126
"PRITL_64_XLIX",-0.0795669563898804,0.119257443265437,-0.0996533049329631,60.977,39.586,12.126
"PRITL_65_L",0.0161073913748385,0.044872827591748,-0.0300460258049039,60.977,39.586,12.126
"PRITL_80_LXII",-0.21821807193729,-0.177694149557823,0.0911049815216703,60.977,39.586,12.126
"PRITL_82_50",0.0341907248861518,-0.155152368002452,-0.0714356167655664,60.977,39.586,12.126
"PRITL_93_LXXIII",-0.0639159437384416,0.0593744482213877,-0.0355528311778577,60.977,39.586,12.126
"PRITL_96",-0.167801345153669,-0.0288700344017439,0.0954327674032911,60.977,39.586,12.126
"PRITL_104_50",0.0396844494450205,-0.0303890698506533,0.00266483345523144,60.977,39.586,12.126
"PRITL_105_P-LXXIX",-0.149210058077375,0.0345626070980042,0.0530175822485837,60.977,39.586,12.126
"PRITL_106_LXXX-1",-0.0307394387871898,0.117146382597489,-0.115362754806541,60.977,39.586,12.126
"PRITL_116_50",0.0693077756880099,-0.0107661966383976,0.0143325260895772,60.977,39.586,12.126
"PRITL_116_LXXXVIII",-0.139826490288035,-0.114533509187022,0.0440070259636477,60.977,39.586,12.126
"PRITL_121",-0.129346738677919,0.0761814672032867,-0.000905653045861354,60.977,39.586,12.126
