Object	A1	A2	COL_1	COL_2	COL_3	COL_4	H1	H2	Mean_Z_size	D2	D1	D4	D4x2	Height1	Volume_out	Volume_int	WT_1	WT_2	WT_3	WT_4	Site
PRITL_413_P-CCXX-1	0.6944	0.8162	0.008	0.0185	0.0245	0.0245	0.7439	0.9483	0.2523	0.0976	0.0476	0.022	0.1196	0.1752	0.1515	0.755	0.0091	0.0091	0.0066	0.0069	Pritluky
PRITL_0_P-CCLXXX-1	0.6901	0.6874	0.0088	0.0252	0.0389	0.0383	0.669	0.7416	0.2975	0.0758	0.0256	0.0345	0.1103	0.2053	0.2321	0.746	0.0119	0.0073	0.0055	0.0057	Pritluky
PRITL_0_P-XCIX	0.6441	0.7308	0.0048	0.0044	0.0133	0.0133	0.6068	0.8524	0.2481	0.0773	0.0165	0.0285	0.1057	0.1598	0.2666	0.5808	0.0102	0.0087	0.0102	0.0103	Pritluky
PRITL_12_P-514-CCLXXXII-497	0.6183	0.7429	0.0068	0.0083	0.0183	0.0183	0.6487	0.8869	0.1948	0.0642	0.0191	0.0222	0.0864	0.1205	0.0898	0.3318	0.0115	0.0078	0.0059	0.0059	Pritluky
PRITL_22_X-1	0.707	0.7905	0.0064	0.0094	0.0135	0.0126	0.6993	0.8871	0.2261	0.0793	0.0316	0.021	0.1003	0.1599	0.1103	0.5008	0.0107	0.0108	0.0057	0.0058	Pritluky
PRITL_23	0.6148	0.7027	0.0056	0.0096	0.0188	0.0188	0.643	0.8973	0.241	0.076	0.0217	0.0321	0.1081	0.1482	0.1904	0.6157	0.0152	0.0125	0.0088	0.0089	Pritluky
PRITL_36_XXIV	0.6727	0.744	0.0085	0.0131	0.0196	0.0201	0.6797	0.8664	0.2239	0.0722	0.0259	0.0248	0.097	0.1506	0.1509	0.4477	0.0068	0.0076	0.0062	0.0063	Pritluky
PRITL_40_XXVIII	0.6441	0.7799	0.0053	0.0132	0.0326	0.0328	0.6889	0.8121	0.2411	0.0763	0.0289	0.0216	0.0979	0.1553	0.0958	0.5191	0.0124	0.0094	0.0081	0.0085	Pritluky
PRITL_45_XXXI-1-2	0.6301	0.7808	0.0049	0.009	0.0268	0.0268	0.7067	0.897	0.2005	0.0702	0.029	0.0197	0.0899	0.1263	0.0709	0.3671	0.019	0.0086	0.0066	0.0067	Pritluky
PRITL_52	0.6836	0.7968	0.007	0.0141	0.0172	0.0179	0.7038	1.1305	0.1815	0.0818	0.0333	0.0209	0.1026	0.1241	0.081	0.425	0.0169	0.0099	0.0065	0.0074	Pritluky
PRITL_54_P-54_L	0.6409	0.7535	0.0032	0.006	0.0187	0.0187	0.6551	0.8946	0.1652	0.0557	0.0173	0.0182	0.0739	0.1059	0.037	0.1963	0.0099	0.0094	0.0061	0.0062	Pritluky
PRITL_54_XXXIX	0.6415	0.7495	0.0047	0.0082	0.0173	0.0172	0.6869	0.8732	0.1912	0.0626	0.0234	0.0209	0.0835	0.1227	0.1119	0.2905	0.008	0.0079	0.0048	0.0049	Pritluky
