"Sample","X","Y","Z","PCoA1","PCoA2","PCoA3"
"PRITL_413_P-CCXX-1",-0.09856955588997,-0.0432409601631064,0.00306127187254455,48.626,21.052,13.046
"PRITL_0_P-CCLXXX-1",-0.20853660594706,-0.166523891529317,0.0233007418953552,48.626,21.052,13.046
"PRITL_0_P-XCIX",0.0548358827183077,0.043710011296706,-0.151175996720523,48.626,21.052,13.046
"PRITL_12_P-514-CCLXXXII-497",0.0118293640159477,-0.0587282371378499,-0.00294888038923982,48.626,21.052,13.046
"PRITL_22_X-1",0.0394849408501024,-0.0164416421055139,0.0395523952471554,48.626,21.052,13.046
"PRITL_23",-0.0316053708997923,0.120891708252317,-0.0296824919832244,48.626,21.052,13.046
"PRITL_36_XXIV",-0.029859197454348,-0.0774391039827841,-0.0199506634380584,48.626,21.052,13.046
"PRITL_40_XXVIII",-0.145715410083614,0.0319214048517266,-0.0584844681520818,48.626,21.052,13.046
"PRITL_45_XXXI-1-2",-0.0691027652871683,-0.00895686367086155,0.0356295462916301,48.626,21.052,13.046
"PRITL_52",-0.0155765560533219,0.037786673020206,0.0549721454418837,48.626,21.052,13.046
"PRITL_54_P-54_L",0.0225215744229527,-0.0367765238083986,0.00151433708961791,48.626,21.052,13.046
"PRITL_54_XXXIX",0.0359316162346236,-0.10170249478495,-0.00537349751805117,48.626,21.052,13.046
"PRITL_55_XL",-0.0355415267347516,-0.000964254528746097,0.0176462669049309,48.626,21.052,13.046
"PRITL_56_XLI",-0.108175825716049,0.0171515471418637,0.0160881801131155,48.626,21.052,13.046
"PRITL_57_XLII-1",-0.0824754638638628,0.0402874844576662,0.0303780938230023,48.626,21.052,13.046
"PRITL_61_XLVI",-0.0857364927427702,0.014556115601751,-0.00583205975611825,48.626,21.052,13.046
"PRITL_64_XLIX",-0.0487968633151915,0.0336127417027294,0.0171674844374509,48.626,21.052,13.046
"PRITL_65_L",0.0136476366628541,-0.0678120059874998,-0.00161757222805067,48.626,21.052,13.046
"PRITL_80_LXII",0.118893264522906,0.106547419547767,-0.000771116007099538,48.626,21.052,13.046
"PRITL_82_50",-0.0136327081979887,0.117699305676853,-0.00312416364969399,48.626,21.052,13.046
"PRITL_93_LXXIII",0.176936984437097,-0.116550348033535,-0.021522974106699,48.626,21.052,13.046
"PRITL_96",0.149007145402528,-0.0147490210035654,-0.127954812228619,48.626,21.052,13.046
"PRITL_104_50",-0.0323290089092641,0.0165393871566454,-0.0311428032333228,48.626,21.052,13.046
"PRITL_105_P-LXXIX",0.137129312512586,0.0601236455543453,0.066688348073851,48.626,21.052,13.046
"PRITL_106_LXXX-1",0.00855218337515909,0.0941899562223527,-0.0105604466706393,48.626,21.052,13.046
"PRITL_116_50",-0.0668294701617529,-0.0225974922074262,-0.0499543236836221,48.626,21.052,13.046
"PRITL_116_LXXXVIII",0.147805277626442,-0.128460851509153,-0.0228015707168349,48.626,21.052,13.046
"PRITL_121",0.118792936677442,-0.0351672557677008,-0.105550425420617,48.626,21.052,13.046
"PRITL_136_XCVII",-0.0289032790687281,0.117120414490994,-0.0132210111880104,48.626,21.052,13.046
"PRITL_137_50",0.0720610237393361,-0.0421676507292589,0.00683457452689123,48.626,21.052,13.046
"PRITL_141_P-XCVIII",0.0240241597662949,0.0629477127615511,-0.03642047888483,48.626,21.052,13.046
"PRITL_154",0.147480709237811,-0.057793040446805,-0.0864727752286595,48.626,21.052,13.046
"PRITL_297_CLXII",0.138814615502267,0.112187069252466,-0.0060721614322342,48.626,21.052,13.046
"PRITL_314a_CLXVIII-A",-0.00181867687707277,0.0438081936044147,-0.0610500717442737,48.626,21.052,13.046
"PRITL_316_CLXIX",-0.152000143176404,-0.0719560780493326,0.0534982095123558,48.626,21.052,13.046
"PRITL_362_CLXXXIV",-0.0752685324517226,-0.153771353760462,-0.0215069648124923,48.626,21.052,13.046
"PRITL_407_P-407_CCXIV",0.0112841291135427,-0.0309419320137167,0.0515157812503109,48.626,21.052,13.046
"PRITL_411_P-CCXVIII-1",-0.00754889467673415,0.0133406122792422,-0.0590665577673456,48.626,21.052,13.046
"PRITL_520_P-CCXCVII",0.0213726142926717,-0.0639470770054238,-0.0463384182057223,48.626,21.052,13.046
"PRITL_523_P-CCC-1-2-3",-0.0484942275012867,0.0347086192226791,0.048199893293176,48.626,21.052,13.046
"PRITL_585_CCCXXXII",0.00762222395705252,0.0294598346291838,-0.0726235413076118,48.626,21.052,13.046
"PRITL_614_P-CCCLII",0.0803808728077652,0.0498731109056917,-0.0713454934887474,48.626,21.052,13.046
"PRITL_615_CCCLIII",-0.211953238993391,-0.0654190505507534,0.0645404294216975,48.626,21.052,13.046
"PRITL_616_CCCLIV-1-2",-0.0220233828483926,0.0248403160601072,-0.00901309689022524,48.626,21.052,13.046
